model,filename,calibration_method,bin_index,prob_min,prob_max,rows,mean_predicted_probability,observed_positive_rate,abs_calibration_error
shortExitLifecycleAi,short_exit_lifecycle.onnx,raw,4,0.4,0.5,235,0.44076614552826104,0.5829787234042553,0.14221257787599423
shortExitLifecycleAi,short_exit_lifecycle.onnx,raw,5,0.5,0.6000000000000001,73,0.533274689998115,0.6438356164383562,0.11056092644024118
shortExitLifecycleAi,short_exit_lifecycle.onnx,raw,6,0.6000000000000001,0.7000000000000001,0,,,
shortExitLifecycleAi,short_exit_lifecycle.onnx,raw,7,0.7000000000000001,0.8,0,,,
shortExitLifecycleAi,short_exit_lifecycle.onnx,raw,8,0.8,0.9,1,0.8802743196338532,1.0,0.11972568036614684
shortExitLifecycleAi,short_exit_lifecycle.onnx,raw,9,0.9,1.0,2121,0.9956115323125432,1.0,0.004388467687456821
longMicroEntryAi,long_micro_entry_5s.onnx,raw,0,0.0,0.1,1642,0.05647989662155139,0.06272838002436054,0.006248483402809153
longMicroEntryAi,long_micro_entry_5s.onnx,raw,1,0.1,0.2,982,0.14095725296304937,0.11405295315682282,0.02690429980622655
longMicroEntryAi,long_micro_entry_5s.onnx,raw,2,0.2,0.30000000000000004,358,0.24585985944377745,0.24022346368715083,0.005636395756626611
longMicroEntryAi,long_micro_entry_5s.onnx,raw,3,0.30000000000000004,0.4,187,0.34646711727961876,0.26737967914438504,0.07908743813523372
longMicroEntryAi,long_micro_entry_5s.onnx,raw,4,0.4,0.5,76,0.43665896502003126,0.18421052631578946,0.25244843870424183
longMicroEntryAi,long_micro_entry_5s.onnx,raw,5,0.5,0.6000000000000001,28,0.5340171696268202,0.42857142857142855,0.10544574105539167
longMicroEntryAi,long_micro_entry_5s.onnx,raw,6,0.6000000000000001,0.7000000000000001,19,0.6391097118142499,0.7894736842105263,0.1503639723962764
longMicroEntryAi,long_micro_entry_5s.onnx,raw,7,0.7000000000000001,0.8,59,0.7609908694778438,0.8135593220338984,0.05256845255605458
longMicroEntryAi,long_micro_entry_5s.onnx,raw,8,0.8,0.9,94,0.85293490227026,0.7978723404255319,0.05506256184472813
longMicroEntryAi,long_micro_entry_5s.onnx,raw,9,0.9,1.0,4,0.9059112903271038,1.0,0.09408870967289618
shortMicroEntryAi,short_micro_entry_5s.onnx,raw,0,0.0,0.1,1712,0.058070417595401984,0.038551401869158876,0.019519015726243108
shortMicroEntryAi,short_micro_entry_5s.onnx,raw,1,0.1,0.2,895,0.13919793626226767,0.12737430167597766,0.011823634586290016
shortMicroEntryAi,short_micro_entry_5s.onnx,raw,2,0.2,0.30000000000000004,386,0.24719247217605883,0.2538860103626943,0.006693538186635484
shortMicroEntryAi,short_micro_entry_5s.onnx,raw,3,0.30000000000000004,0.4,262,0.34150681372973524,0.3015267175572519,0.039980096172483326
shortMicroEntryAi,short_micro_entry_5s.onnx,raw,4,0.4,0.5,68,0.4413031332643997,0.5588235294117647,0.11752039614736504
shortMicroEntryAi,short_micro_entry_5s.onnx,raw,5,0.5,0.6000000000000001,16,0.5376739499167573,0.8125,0.2748260500832427
shortMicroEntryAi,short_micro_entry_5s.onnx,raw,6,0.6000000000000001,0.7000000000000001,49,0.6668575689506379,0.8979591836734694,0.23110161472283153
shortMicroEntryAi,short_micro_entry_5s.onnx,raw,7,0.7000000000000001,0.8,13,0.7243277383949404,0.5384615384615384,0.18586619993340192
shortMicroEntryAi,short_micro_entry_5s.onnx,raw,8,0.8,0.9,65,0.8646810562926813,0.9230769230769231,0.0583958667842418
shortMicroEntryAi,short_micro_entry_5s.onnx,raw,9,0.9,1.0,7,0.9065945082692434,0.8571428571428571,0.049451651126386276
longMicroExitGuardAi,long_micro_exit_guard_5s.onnx,raw,0,0.0,0.1,542,0.08594604558565164,0.06273062730627306,0.023215418279378577
longMicroExitGuardAi,long_micro_exit_guard_5s.onnx,raw,1,0.1,0.2,1379,0.1401357715406272,0.10297316896301668,0.03716260257761052
longMicroExitGuardAi,long_micro_exit_guard_5s.onnx,raw,2,0.2,0.30000000000000004,567,0.23754036716691024,0.25925925925925924,0.021718892092349007
longMicroExitGuardAi,long_micro_exit_guard_5s.onnx,raw,3,0.30000000000000004,0.4,257,0.3393251435000131,0.35019455252918286,0.010869409029169774
longMicroExitGuardAi,long_micro_exit_guard_5s.onnx,raw,4,0.4,0.5,10,0.4117154347526915,0.3,0.11171543475269152
longMicroExitGuardAi,long_micro_exit_guard_5s.onnx,raw,5,0.5,0.6000000000000001,2,0.5285260960352564,0.0,0.5285260960352564
longMicroExitGuardAi,long_micro_exit_guard_5s.onnx,raw,6,0.6000000000000001,0.7000000000000001,1,0.6814128538448985,1.0,0.31858714615510153
longMicroExitGuardAi,long_micro_exit_guard_5s.onnx,raw,7,0.7000000000000001,0.8,3,0.7894797016986234,1.0,0.21052029830137664
longMicroExitGuardAi,long_micro_exit_guard_5s.onnx,raw,8,0.8,0.9,73,0.8762315504400697,1.0,0.12376844955993027
longMicroExitGuardAi,long_micro_exit_guard_5s.onnx,raw,9,0.9,1.0,267,0.9557393865695564,1.0,0.04426061343044363
shortMicroExitGuardAi,short_micro_exit_guard_5s.onnx,raw,0,0.0,0.1,316,0.08865266574685417,0.022151898734177215,0.06650076701267696
shortMicroExitGuardAi,short_micro_exit_guard_5s.onnx,raw,1,0.1,0.2,1635,0.1392154309853337,0.13516819571865443,0.004047235266679272
shortMicroExitGuardAi,short_micro_exit_guard_5s.onnx,raw,2,0.2,0.30000000000000004,400,0.24142750471132296,0.2575,0.016072495288677047
shortMicroExitGuardAi,short_micro_exit_guard_5s.onnx,raw,3,0.30000000000000004,0.4,203,0.3374339577983634,0.3694581280788177,0.032024170280454345
shortMicroExitGuardAi,short_micro_exit_guard_5s.onnx,raw,4,0.4,0.5,26,0.4200793660218364,0.4230769230769231,0.002997557055086697
shortMicroExitGuardAi,short_micro_exit_guard_5s.onnx,raw,5,0.5,0.6000000000000001,2,0.561517955031206,0.0,0.561517955031206
shortMicroExitGuardAi,short_micro_exit_guard_5s.onnx,raw,6,0.6000000000000001,0.7000000000000001,1,0.6261278877690034,1.0,0.3738721122309966
shortMicroExitGuardAi,short_micro_exit_guard_5s.onnx,raw,7,0.7000000000000001,0.8,5,0.7648129904923653,1.0,0.23518700950763471
shortMicroExitGuardAi,short_micro_exit_guard_5s.onnx,raw,8,0.8,0.9,176,0.8667901498707145,1.0,0.13320985012928555
shortMicroExitGuardAi,short_micro_exit_guard_5s.onnx,raw,9,0.9,1.0,260,0.9340913958579112,1.0,0.06590860414208877
