model,side,fold_id,bin_index,prob_min,prob_max,rows,mean_predicted_probability,observed_positive_rate,abs_calibration_error
short_entry.onnx,short,1,9,0.9,1.0,14,0.9106220693678518,0.0,0.9106220693678518
short_entry.onnx,short,2,0,0.0,0.1,46,0.07323927995653272,0.043478260869565216,0.029761019086967502
short_entry.onnx,short,2,1,0.1,0.2,1652,0.1680030327201002,0.08898305084745763,0.07901998187264257
short_entry.onnx,short,2,2,0.2,0.30000000000000004,5446,0.25887065188725644,0.1845391112743298,0.07433154061292666
short_entry.onnx,short,2,3,0.30000000000000004,0.4,14275,0.35717798224051894,0.2615061295971979,0.09567185264332106
short_entry.onnx,short,2,4,0.4,0.5,30223,0.45666001606112744,0.3074148827052245,0.14924513335590295
short_entry.onnx,short,2,5,0.5,0.6000000000000001,52073,0.5507056539251793,0.34442033299406605,0.2062853209311133
short_entry.onnx,short,2,6,0.6000000000000001,0.7000000000000001,20879,0.6319134036538961,0.3673547583696537,0.26455864528424244
short_entry.onnx,short,2,7,0.7000000000000001,0.8,1234,0.7313169527508684,0.3833063209076175,0.3480106318432509
short_entry.onnx,short,2,8,0.8,0.9,168,0.8272067595160383,0.34523809523809523,0.48196866427794305
short_entry.onnx,short,2,9,0.9,1.0,4,0.9098477717214385,0.0,0.9098477717214385
short_entry.onnx,short,3,0,0.0,0.1,1671,0.05638680176954026,0.00718132854578097,0.04920547322375929
short_entry.onnx,short,3,1,0.1,0.2,6369,0.15269850861904777,0.06547338671691004,0.08722512190213773
short_entry.onnx,short,3,2,0.2,0.30000000000000004,7941,0.2529794774980607,0.15527011711371363,0.09770936038434708
short_entry.onnx,short,3,3,0.30000000000000004,0.4,12020,0.35338271166836227,0.22878535773710482,0.12459735393125745
short_entry.onnx,short,3,4,0.4,0.5,29778,0.45920598147636915,0.2993149304855934,0.15989105099077577
short_entry.onnx,short,3,5,0.5,0.6000000000000001,51552,0.5481482481872035,0.3366503724394786,0.21149787574772494
short_entry.onnx,short,3,6,0.6000000000000001,0.7000000000000001,15899,0.631229549273132,0.3779482986351343,0.2532812506379977
short_entry.onnx,short,3,7,0.7000000000000001,0.8,742,0.7279348955802839,0.3908355795148248,0.3370993160654591
short_entry.onnx,short,3,8,0.8,0.9,28,0.8220639144147562,0.5357142857142857,0.28634962870047054
short_entry.onnx,short,3,9,0.9,1.0,0,,,
short_entry.onnx,short,4,0,0.0,0.1,274,0.08310021834630248,0.0036496350364963502,0.07945058330980613
short_entry.onnx,short,4,1,0.1,0.2,780,0.14288918065372783,0.029487179487179487,0.11340200116654833
short_entry.onnx,short,4,2,0.2,0.30000000000000004,1479,0.261788440001498,0.25557809330628806,0.006210346695209923
short_entry.onnx,short,4,3,0.30000000000000004,0.4,4953,0.3592739915453795,0.2549969715324046,0.1042770200129749
short_entry.onnx,short,4,4,0.4,0.5,26562,0.46538164748688976,0.3301332730969054,0.13524837438998438
short_entry.onnx,short,4,5,0.5,0.6000000000000001,74350,0.5483711210668569,0.36496301277740417,0.18340810828945275
short_entry.onnx,short,4,6,0.6000000000000001,0.7000000000000001,17010,0.6287474552440351,0.37019400352733683,0.25855345171669825
short_entry.onnx,short,4,7,0.7000000000000001,0.8,589,0.7235153455990305,0.34974533106960953,0.373770014529421
short_entry.onnx,short,4,8,0.8,0.9,3,0.8009456670676539,0.0,0.8009456670676539
short_entry.onnx,short,4,9,0.9,1.0,0,,,
short_entry.onnx,short,5,0,0.0,0.1,347,0.0825462703892256,0.023054755043227664,0.05949151534599793
short_entry.onnx,short,5,1,0.1,0.2,2219,0.15555145824504243,0.10545290671473637,0.05009855153030607
short_entry.onnx,short,5,2,0.2,0.30000000000000004,5561,0.2580896136774986,0.1629203380686927,0.09516927560880592
short_entry.onnx,short,5,3,0.30000000000000004,0.4,12181,0.355030747213488,0.1956325424841967,0.15939820472929128
short_entry.onnx,short,5,4,0.4,0.5,29499,0.4611380657310825,0.251872944845588,0.20926512088549454
short_entry.onnx,short,5,5,0.5,0.6000000000000001,63007,0.5471449447551487,0.3045058485565096,0.24263909619863916
short_entry.onnx,short,5,6,0.6000000000000001,0.7000000000000001,12741,0.62851932734948,0.33976924888156346,0.28875007846791656
short_entry.onnx,short,5,7,0.7000000000000001,0.8,443,0.7237558130835775,0.3544018058690745,0.369354007214503
short_entry.onnx,short,5,8,0.8,0.9,2,0.8140169680249207,0.5,0.31401696802492074
short_entry.onnx,short,5,9,0.9,1.0,0,,,
