model,filename,calibration_method,bin_index,prob_min,prob_max,rows,mean_predicted_probability,observed_positive_rate,abs_calibration_error
longMicroEntryAi,long_micro_entry_5s.onnx,raw,9,0.9,1.0,62,0.9163747734656881,0.9032258064516129,0.013148967014075197
shortMicroEntryAi,short_micro_entry_5s.onnx,raw,0,0.0,0.1,24012,0.06724117503840453,0.054014659336998165,0.013226515701406365
shortMicroEntryAi,short_micro_entry_5s.onnx,raw,1,0.1,0.2,16459,0.13968210248511764,0.12686068412418738,0.012821418360930259
shortMicroEntryAi,short_micro_entry_5s.onnx,raw,2,0.2,0.30000000000000004,6115,0.2411955893850034,0.24251839738348324,0.0013228079984798358
shortMicroEntryAi,short_micro_entry_5s.onnx,raw,3,0.30000000000000004,0.4,1748,0.33771679140519484,0.3329519450800915,0.004764846325103322
shortMicroEntryAi,short_micro_entry_5s.onnx,raw,4,0.4,0.5,436,0.4393428230551676,0.4151376146788991,0.024205208376268494
shortMicroEntryAi,short_micro_entry_5s.onnx,raw,5,0.5,0.6000000000000001,140,0.5437739067238259,0.5214285714285715,0.022345335295254398
shortMicroEntryAi,short_micro_entry_5s.onnx,raw,6,0.6000000000000001,0.7000000000000001,155,0.6552116509311164,0.8709677419354839,0.21575609100436743
shortMicroEntryAi,short_micro_entry_5s.onnx,raw,7,0.7000000000000001,0.8,259,0.753663368969288,0.918918918918919,0.165255549949631
shortMicroEntryAi,short_micro_entry_5s.onnx,raw,8,0.8,0.9,318,0.8485338190691223,0.8647798742138365,0.016246055144714222
shortMicroEntryAi,short_micro_entry_5s.onnx,raw,9,0.9,1.0,202,0.9298276984523632,0.8712871287128713,0.058540569739491954
longMicroExitGuardAi,long_micro_exit_guard_5s.onnx,raw,0,0.0,0.1,7174,0.0904322563103661,0.04711458042932813,0.043317675881037965
longMicroExitGuardAi,long_micro_exit_guard_5s.onnx,raw,1,0.1,0.2,24227,0.13479863263565892,0.1283691748875222,0.006429457748136719
longMicroExitGuardAi,long_micro_exit_guard_5s.onnx,raw,2,0.2,0.30000000000000004,6842,0.23830599736179178,0.24817304881613564,0.009867051454343856
longMicroExitGuardAi,long_micro_exit_guard_5s.onnx,raw,3,0.30000000000000004,0.4,2128,0.3406747881515919,0.34351503759398494,0.002840249442393028
longMicroExitGuardAi,long_micro_exit_guard_5s.onnx,raw,4,0.4,0.5,355,0.4266675292191492,0.37464788732394366,0.052019641895205526
longMicroExitGuardAi,long_micro_exit_guard_5s.onnx,raw,5,0.5,0.6000000000000001,42,0.5376932032659109,0.5952380952380952,0.057544891972184375
longMicroExitGuardAi,long_micro_exit_guard_5s.onnx,raw,6,0.6000000000000001,0.7000000000000001,1,0.6815059116789424,1.0,0.31849408832105763
longMicroExitGuardAi,long_micro_exit_guard_5s.onnx,raw,7,0.7000000000000001,0.8,33,0.7719363573612409,1.0,0.2280636426387591
longMicroExitGuardAi,long_micro_exit_guard_5s.onnx,raw,8,0.8,0.9,611,0.8788756766199616,1.0,0.12112432338003842
longMicroExitGuardAi,long_micro_exit_guard_5s.onnx,raw,9,0.9,1.0,3611,0.9526478318932851,1.0,0.04735216810671494
shortMicroExitGuardAi,short_micro_exit_guard_5s.onnx,raw,0,0.0,0.1,4245,0.09161309092336228,0.025677267373380448,0.06593582354998184
shortMicroExitGuardAi,short_micro_exit_guard_5s.onnx,raw,1,0.1,0.2,26666,0.13436877759346838,0.12300307507687692,0.011365702516591455
shortMicroExitGuardAi,short_micro_exit_guard_5s.onnx,raw,2,0.2,0.30000000000000004,4864,0.24605834222980869,0.28926809210526316,0.04320974987545448
shortMicroExitGuardAi,short_micro_exit_guard_5s.onnx,raw,3,0.30000000000000004,0.4,2864,0.3423081724698916,0.3893156424581006,0.04700746998820898
shortMicroExitGuardAi,short_micro_exit_guard_5s.onnx,raw,4,0.4,0.5,174,0.42434923994737833,0.39080459770114945,0.033544642246228884
shortMicroExitGuardAi,short_micro_exit_guard_5s.onnx,raw,5,0.5,0.6000000000000001,0,,,
shortMicroExitGuardAi,short_micro_exit_guard_5s.onnx,raw,6,0.6000000000000001,0.7000000000000001,0,,,
shortMicroExitGuardAi,short_micro_exit_guard_5s.onnx,raw,7,0.7000000000000001,0.8,18,0.7831720273355894,1.0,0.21682797266441056
shortMicroExitGuardAi,short_micro_exit_guard_5s.onnx,raw,8,0.8,0.9,965,0.8805660239016421,1.0,0.11943397609835793
shortMicroExitGuardAi,short_micro_exit_guard_5s.onnx,raw,9,0.9,1.0,2828,0.9487717670193732,1.0,0.05122823298062684
