Timestamp,Open,High,Low,Close,Volume,WAP,Count,YesterdayClose,Bid,Ask,BidSize,AskSize,PutVol,CallVol,ShortableShares,NewsCount300s,SentimentMean300s,SentimentMin300s,SentimentMax300s,MinutesSinceNews,AsOfTs,BarEpochSec,SessionBucket,MinuteOfDay,SecondsFromOpen,SpreadBps,L1Imbalance,NewsCount60s,NewsUniqueProviders300s,SentimentStd300s,SentimentLatest,SentimentModel,SentimentConfidenceMean300s,SentimentConfidenceLatest,NewsAsOfLagSec,NewsCoverage300s,FeatureCompleteness,DataQualityFlags,BidLast,AskLast,BidSizeLast,AskSizeLast,PutVolDelta5s,CallVolDelta5s,ShortableDelta5s,ShortableMin5s,ShortableMax5s,QuoteUpdateCount5s,QuoteCoverage5s,QuoteAgeMs,SpreadMinBps5s,SpreadMaxBps5s,ImbalanceStd5s,AtBidVol,AtAskVol,TradePrintCount5s,Mkt_TSLA_Close5s,Mkt_TSLA_Ret5s,Mkt_TSLA_Ret30s,Mkt_TSLA_SpreadBps,Mkt_TSLA_L1Imbalance,Mkt_TSLA_NewsCount300s,Mkt_TSLA_SentimentMean300s,Mkt_TSLA_AsOfLagSec,Mkt_QQQ_Close5s,Mkt_QQQ_Ret5s,Mkt_QQQ_Ret30s,Mkt_QQQ_SpreadBps,Mkt_QQQ_L1Imbalance,Mkt_QQQ_NewsCount300s,Mkt_QQQ_SentimentMean300s,Mkt_QQQ_AsOfLagSec,Mkt_NVDA_Close5s,Mkt_NVDA_Ret5s,Mkt_NVDA_Ret30s,Mkt_NVDA_SpreadBps,Mkt_NVDA_L1Imbalance,Mkt_NVDA_NewsCount300s,Mkt_NVDA_SentimentMean300s,Mkt_NVDA_AsOfLagSec,Mkt_AMD_Close5s,Mkt_AMD_Ret5s,Mkt_AMD_Ret30s,Mkt_AMD_SpreadBps,Mkt_AMD_L1Imbalance,Mkt_AMD_NewsCount300s,Mkt_AMD_SentimentMean300s,Mkt_AMD_AsOfLagSec,MktReadyCount,MktBreadthUp5s,MktMeanRet5s,MktDispersion5s
20260312 15:32:35 America/New_York,397.8800,397.9400,397.8400,397.8800,105.000000000000000000,397.885300662878819367,52,407.8200,397.8512,397.8867,2,2,924755,1008179,47137614,0,0.0000,0.0000,0.0000,18667.5833,20260312 15:32:35 America/New_York,1773343955,REGULAR,932,21755,0.8914,0.1454,0,0,0.0000,0.0000,finbert,0.0000,0.0000,999999.00,0.0000,0.8000,news,397.8800,397.9100,1,1,24,45,-80,47137614,47137694,169,1.0000,0.0,0.5026,1.0054,0.1851,3.0000,45.0000,24,397.8800,0.000025,0.000427,0.8914,0.1454,0,0.0000,0.00,599.2200,0.000017,0.000284,0.1663,-0.1670,0,0.0000,0.00,183.5900,0.000163,0.000600,0.5448,-0.2383,0,0.0000,0.00,198.4300,0.000151,0.000252,1.5520,0.2188,0,0.0000,5.00,4,4,0.000089,0.000079
20260312 15:32:40 America/New_York,397.9000,397.9400,397.8500,397.9200,122.000000000000000000,397.905370446172696575,54,407.8200,397.8783,397.9136,2,2,924821,1008297,47137646,0,0.0000,0.0000,0.0000,18667.6667,20260312 15:32:40 America/New_York,1773343960,REGULAR,932,21760,0.8882,0.0064,0,0,0.0000,0.0000,finbert,0.0000,0.0000,999999.00,0.0000,0.8000,news,397.9000,397.9400,1,4,66,118,32,47137614,47137646,201,1.0000,0.0,0.5026,1.5080,0.1561,30.0000,43.0000,31,397.9200,0.000101,0.000151,0.8882,0.0064,0,0.0000,0.00,599.3000,0.000134,0.000484,0.1671,-0.1478,0,0.0000,0.00,183.6100,0.000109,0.000927,0.5954,-0.1656,0,0.0000,0.00,198.4500,0.000202,0.000756,1.5030,0.0466,0,0.0000,0.00,4,4,0.000136,0.000046
20260312 15:32:45 America/New_York,397.9100,397.9300,397.8900,397.8900,85.000000000000000000,397.904967647058811053,20,407.8200,397.8939,397.9337,2,4,924852,1008318,47137646,0,0.0000,0.0000,0.0000,18667.7500,20260312 15:32:45 America/New_York,1773343965,REGULAR,932,21765,0.9993,-0.2953,0,0,0.0000,0.0000,finbert,0.0000,0.0000,999999.00,0.0000,0.8000,news,397.8500,397.9100,6,3,31,21,0,47137646,47137646,107,1.0000,0.0,0.5026,1.7593,0.3443,10.0000,48.0000,21,397.8900,-0.000075,-0.000126,0.9993,-0.2953,0,0.0000,0.00,599.2400,-0.000100,0.000300,0.1669,-0.5493,0,0.0000,0.00,183.6100,0.000000,0.000599,0.5446,-0.2924,0,0.0000,0.00,198.4400,-0.000050,0.000403,1.9121,-0.0689,0,0.0000,0.00,4,0,-0.000056,0.000043
20260312 15:32:50 America/New_York,397.8800,397.9100,397.8500,397.9000,95.000000000000000000,397.875407870732317406,43,407.8200,397.8532,397.9059,6,3,924871,1008367,47137644,0,0.0000,0.0000,0.0000,18667.8333,20260312 15:32:50 America/New_York,1773343970,REGULAR,932,21770,1.3242,0.2554,0,0,0.0000,0.0000,finbert,0.0000,0.0000,999999.00,0.0000,0.8000,news,397.8700,397.9000,2,2,19,49,-2,47137644,47137646,152,1.0000,0.0,0.7540,1.5080,0.2748,34.0000,37.0000,25,397.9000,0.000025,0.000000,1.3242,0.2554,0,0.0000,0.00,599.3100,0.000117,0.000284,0.1637,-0.1227,0,0.0000,0.00,183.5900,-0.000109,0.000272,0.5447,0.5036,0,0.0000,0.00,198.4400,-0.000050,0.000403,1.9121,-0.0689,0,0.0000,5.00,4,2,-0.000004,0.000098
20260312 15:32:55 America/New_York,397.8700,398.0300,397.8700,398.0300,222.000000000000000000,397.953478749718897234,92,407.8200,397.8986,397.9328,3,3,925180,1008600,47137639,0,0.0000,0.0000,0.0000,18667.9167,20260312 15:32:55 America/New_York,1773343975,REGULAR,932,21775,0.8596,0.0607,0,0,0.0000,0.0000,finbert,0.0000,0.0000,999999.00,0.0000,0.8000,news,397.9800,398.0400,10,2,309,233,-5,47137639,47137644,308,1.0000,0.0,0.2513,1.5075,0.2644,38.0000,82.0000,29,398.0300,0.000327,0.000553,0.8596,0.0607,0,0.0000,0.00,599.3900,0.000133,0.000417,0.1669,-0.2871,0,0.0000,0.00,183.6500,0.000327,0.000708,0.5584,-0.1562,0,0.0000,0.00,198.4400,0.000000,0.000252,1.3880,-0.4369,0,0.0000,5.00,4,3,0.000197,0.000160
20260312 15:33:00 America/New_York,398.0000,398.0100,397.9200,397.9800,101.000000000000000000,397.968809523809511575,35,407.8200,397.9650,398.0167,6,2,925222,1008691,47139495,0,0.0000,0.0000,0.0000,18668.0000,20260312 15:33:00 America/New_York,1773343980,REGULAR,933,21780,1.3014,0.3018,0,0,0.0000,0.0000,finbert,0.0000,0.0000,999999.00,0.0000,0.8000,news,397.9400,397.9800,1,1,42,91,1856,47137639,47144066,141,1.0000,0.0,0.5026,1.5077,0.4054,31.0000,31.0000,27,397.9800,-0.000126,0.000276,1.3014,0.3018,0,0.0000,0.00,599.4200,0.000050,0.000350,0.1668,-0.4467,0,0.0000,0.00,183.6200,-0.000163,0.000327,0.6325,0.1278,0,0.0000,0.00,198.4900,0.000252,0.000454,1.7837,-0.2519,0,0.0000,5.00,4,2,0.000003,0.000190
20260312 15:33:05 America/New_York,397.9600,397.9600,397.8500,397.8700,199.000000000000000000,397.918404522613116114,37,407.8200,397.9127,397.9501,2,1,925262,1008900,47139500,0,0.0000,0.0000,0.0000,18668.0833,20260312 15:33:05 America/New_York,1773343985,REGULAR,933,21785,0.9398,0.0062,0,0,0.0000,0.0000,finbert,0.0000,0.0000,999999.00,0.0000,0.8000,news,397.8500,397.8700,2,3,40,209,5,47139495,47139500,146,1.0000,0.0,0.5027,1.0054,0.2167,35.0000,34.0000,27,397.8700,-0.000276,-0.000025,0.9398,0.0062,0,0.0000,0.00,599.4200,0.000050,0.000350,0.1668,-0.4467,0,0.0000,5.00,183.6100,-0.000054,0.000109,0.5446,-0.1509,0,0.0000,0.00,198.4900,0.000000,0.000302,1.3803,-0.1017,0,0.0000,5.00,4,1,-0.000070,0.000144
20260312 15:33:10 America/New_York,397.8700,397.9600,397.8700,397.9600,80.000000000000000000,397.927774333540014595,35,407.8200,397.8743,397.9009,2,3,925307,1008946,47139500,0,0.0000,0.0000,0.0000,18668.1667,20260312 15:33:10 America/New_York,1773343990,REGULAR,933,21790,0.6690,-0.0756,0,0,0.0000,0.0000,finbert,0.0000,0.0000,999999.00,0.0000,0.8000,news,397.9400,397.9800,2,2,45,46,0,47139500,47139500,145,1.0000,0.0,0.5026,1.2565,0.2679,24.0000,47.0000,29,397.9600,0.000226,0.000101,0.6690,-0.0756,0,0.0000,0.00,599.3500,-0.000117,0.000217,0.1668,-0.3374,0,0.0000,5.00,183.6100,-0.000054,0.000109,0.5446,-0.1509,0,0.0000,5.00,198.4400,-0.000252,0.000151,1.9286,-0.3298,0,0.0000,5.00,4,1,-0.000049,0.000201
20260312 15:33:15 America/New_York,397.9700,398.0500,397.9500,398.0300,88.000000000000000000,398.017728555304699967,38,407.8200,397.9673,398.0066,2,4,925362,1009223,47139800,0,0.0000,0.0000,0.0000,18668.2500,20260312 15:33:15 America/New_York,1773343995,REGULAR,933,21795,0.9873,-0.1384,0,0,0.0000,0.0000,finbert,0.0000,0.0000,999999.00,0.0000,0.8000,news,398.0100,398.0400,15,1,55,277,300,47139500,47139800,195,1.0000,0.0,0.7537,1.2562,0.3026,37.0000,33.0000,28,398.0300,0.000176,0.000352,0.9873,-0.1384,0,0.0000,0.00,599.4600,0.000067,0.000367,0.1634,-0.0375,0,0.0000,0.00,183.6600,0.000109,0.000272,0.5445,0.0849,0,0.0000,0.00,198.5100,0.000353,0.000302,1.4802,-0.3089,0,0.0000,5.00,4,4,0.000176,0.000126
20260312 15:33:20 America/New_York,398.0300,398.0500,397.9900,398.0200,88.000000000000000000,398.014155549247789168,23,407.8200,398.0065,398.0414,10,2,925459,1009265,47139786,0,0.0000,0.0000,0.0000,18668.3333,20260312 15:33:20 America/New_York,1773344000,REGULAR,933,21800,0.8756,0.4196,0,0,0.0000,0.0000,finbert,0.0000,0.0000,999999.00,0.0000,0.8000,news,398.0300,398.0700,1,5,97,42,-14,47139786,47139804,135,1.0000,0.0,0.7537,1.2563,0.5810,33.0000,43.0000,25,398.0200,-0.000025,0.000302,0.8756,0.4196,0,0.0000,0.00,599.3700,-0.000150,0.000100,0.1637,0.3330,0,0.0000,0.00,183.6300,-0.000163,0.000218,0.6089,-0.2724,0,0.0000,0.00,198.5500,0.000202,0.000554,1.0037,0.1224,0,0.0000,5.00,4,1,-0.000034,0.000169
20260312 15:33:25 America/New_York,398.0500,398.1100,398.0400,398.0700,103.000000000000000000,398.076332205029018496,41,407.8200,398.0411,398.0802,1,7,925499,1009462,47139629,0,0.0000,0.0000,0.0000,18668.4167,20260312 15:33:25 America/New_York,1773344005,REGULAR,933,21805,0.9818,-0.4934,0,0,0.0000,0.0000,finbert,0.0000,0.0000,999999.00,0.0000,0.8000,news,398.0800,398.1100,1,20,40,197,-157,47139629,47139786,119,1.0000,0.0,0.7536,1.2561,0.2841,10.0000,85.0000,23,398.0700,0.000126,0.000100,0.9818,-0.4934,0,0.0000,0.00,599.4200,0.000083,0.000050,0.1668,-0.1863,0,0.0000,0.00,183.6200,-0.000054,-0.000163,0.5844,-0.0946,0,0.0000,0.00,198.4600,-0.000453,0.000101,1.6576,-0.3553,0,0.0000,5.00,4,2,-0.000075,0.000264
20260312 15:33:30 America/New_York,398.1100,398.1100,398.0300,398.0400,162.000000000000000000,398.094747303543897488,38,407.8200,398.0662,398.0990,1,16,925656,1009721,47136523,0,0.0000,0.0000,0.0000,18668.5000,20260312 15:33:30 America/New_York,1773344010,REGULAR,933,21810,0.8243,-0.6700,0,0,0.0000,0.0000,finbert,0.0000,0.0000,999999.00,0.0000,0.8000,news,397.9700,398.0000,3,1,157,259,-3106,47136523,47139629,221,1.0000,0.0,0.7536,1.2562,0.3823,7.0000,97.0000,22,398.0400,-0.000075,0.000151,0.8243,-0.6700,0,0.0000,0.00,599.3700,-0.000083,-0.000083,0.1640,0.5854,0,0.0000,0.00,183.6200,-0.000054,-0.000163,0.5844,-0.0946,0,0.0000,5.00,198.5300,0.000353,0.000202,1.8308,-0.1609,0,0.0000,5.00,4,1,0.000035,0.000212
20260312 15:33:35 America/New_York,398.0100,398.0200,397.9100,398.0100,527.000000000000000000,397.980500497653906677,155,407.8200,397.9625,397.9971,6,1,925737,1009939,47136523,0,0.0000,0.0000,0.0000,18668.5833,20260312 15:33:35 America/New_York,1773344015,REGULAR,933,21815,0.8697,0.3225,0,0,0.0000,0.0000,finbert,0.0000,0.0000,999999.00,0.0000,0.8000,news,398.0000,398.0200,21,1,81,218,0,47136523,47136523,474,1.0000,0.0,0.5025,1.7590,0.3648,17.0000,171.0000,31,398.0100,-0.000075,0.000352,0.8697,0.3225,0,0.0000,0.00,599.3200,-0.000083,-0.000050,0.1669,-0.0588,0,0.0000,0.00,183.5900,-0.000054,-0.000109,0.6031,0.4798,0,0.0000,0.00,198.5000,-0.000151,0.000050,1.5615,-0.0349,0,0.0000,5.00,4,0,-0.000091,0.000042
20260312 15:33:40 America/New_York,398.0000,398.0200,397.9700,397.9900,148.000000000000000000,398.002954162453704612,32,407.8200,397.9901,398.0200,14,1,925775,1010116,47136512,0,0.0000,0.0000,0.0000,18668.6667,20260312 15:33:40 America/New_York,1773344020,REGULAR,933,21820,0.7498,0.5755,0,0,0.0000,0.0000,finbert,0.0000,0.0000,999999.00,0.0000,0.8000,news,397.9700,398.0000,5,2,38,177,-11,47136510,47136523,104,1.0000,0.0,0.5025,1.5075,0.4031,9.0000,27.0000,16,397.9900,-0.000050,0.000075,0.7498,0.5755,0,0.0000,0.00,599.3200,-0.000083,-0.000050,0.1669,-0.0588,0,0.0000,5.00,183.5900,-0.000054,-0.000109,0.6031,0.4798,0,0.0000,5.00,198.4900,-0.000050,0.000252,2.3015,0.0692,0,0.0000,5.00,4,0,-0.000060,0.000016
20260312 15:33:45 America/New_York,398.0000,398.0100,397.9500,397.9900,94.000000000000000000,397.979428647355803150,41,407.8200,397.9642,397.9999,4,3,925834,1010168,47136550,0,0.0000,0.0000,0.0000,18668.7500,20260312 15:33:45 America/New_York,1773344025,REGULAR,933,21825,0.8974,0.0901,0,0,0.0000,0.0000,finbert,0.0000,0.0000,999999.00,0.0000,0.8000,news,397.9700,398.0100,1,3,59,52,38,47136512,47136562,177,1.0000,0.0,0.2513,1.5076,0.3576,11.0000,46.0000,20,397.9900,0.000000,-0.000100,0.8974,0.0901,0,0.0000,0.00,599.2600,-0.000100,-0.000267,0.1669,0.3836,0,0.0000,5.00,183.5600,-0.000163,-0.000436,0.5557,0.3560,0,0.0000,5.00,198.4600,-0.000151,-0.000252,2.1044,-0.0071,0,0.0000,5.00,4,0,-0.000104,0.000074
20260312 15:33:50 America/New_York,397.9800,397.9900,397.8800,397.8900,116.000000000000000000,397.916379087779716883,45,407.8200,397.9437,397.9834,2,3,925902,1010267,47136560,0,0.0000,0.0000,0.0000,18668.8333,20260312 15:33:50 America/New_York,1773344030,REGULAR,933,21830,0.9980,-0.1924,0,0,0.0000,0.0000,finbert,0.0000,0.0000,999999.00,0.0000,0.8000,news,397.8400,397.8700,22,1,68,99,10,47136550,47136560,222,1.0000,0.0,0.5027,1.5078,0.4089,28.0000,40.0000,28,397.8900,-0.000251,-0.000327,0.9980,-0.1924,0,0.0000,0.00,599.2500,-0.000017,-0.000350,0.1669,-0.3100,0,0.0000,5.00,183.5500,-0.000163,-0.000436,0.5447,0.1737,0,0.0000,0.00,198.4700,0.000050,-0.000403,1.5124,0.1364,0,0.0000,5.00,4,1,-0.000095,0.000137
20260312 15:33:55 America/New_York,397.8800,397.9000,397.8400,397.8900,120.000000000000000000,397.877534246575407906,36,407.8200,397.8470,397.8837,16,2,926065,1010354,47136560,0,0.0000,0.0000,0.0000,18668.9167,20260312 15:33:55 America/New_York,1773344035,REGULAR,933,21835,0.9213,0.5007,0,0,0.0000,0.0000,finbert,0.0000,0.0000,999999.00,0.0000,0.8000,news,397.8400,397.8900,15,2,163,87,0,47136560,47136560,155,1.0000,0.0,0.7540,1.7593,0.5602,53.0000,65.0000,28,397.8900,0.000000,-0.000452,0.9213,0.5007,0,0.0000,0.00,599.2200,-0.000017,-0.000334,0.1669,0.6049,0,0.0000,0.00,183.5500,-0.000163,-0.000436,0.5447,0.1737,0,0.0000,5.00,198.4700,0.000000,0.000050,1.1674,-0.2293,0,0.0000,5.00,4,0,-0.000045,0.000079
20260312 15:34:00 America/New_York,397.8900,397.9000,397.8200,397.8500,133.000000000000000000,397.846294559099419530,55,407.8200,397.8372,397.8841,11,2,926386,1010474,47136752,0,0.0000,0.0000,0.0000,18669.0000,20260312 15:34:00 America/New_York,1773344040,REGULAR,934,21840,1.1775,0.5180,0,0,0.0000,0.0000,finbert,0.0000,0.0000,999999.00,0.0000,0.8000,news,397.8400,397.8700,2,4,321,120,192,47136556,47136752,205,1.0000,0.0,0.7540,1.2568,0.3417,47.0000,25.0000,21,397.8500,-0.000101,-0.000477,1.1775,0.5180,0,0.0000,0.00,599.1900,-0.000050,-0.000300,0.1669,0.3330,0,0.0000,0.00,183.5700,0.000109,-0.000272,0.5448,-0.3745,0,0.0000,5.00,198.4700,0.000000,-0.000302,1.7060,0.2567,0,0.0000,5.00,4,1,-0.000010,0.000090
