Timestamp,Open,High,Low,Close,Volume,WAP,Count,YesterdayClose
20250923 10:43:55 America/New_York,222.6600,222.6700,222.6300,222.6500,70.0000000000000000,222.6510000000000000,36,227.9000
20250923 10:44:00 America/New_York,222.6500,222.6800,222.6300,222.6300,94.0000000000000000,222.6560000000000000,69,227.9000
20250923 10:44:05 America/New_York,222.6200,222.6400,222.5700,222.5900,42.0000000000000000,222.5980000000000000,25,227.9000
20250923 10:44:10 America/New_York,222.6100,222.6300,222.5500,222.5600,84.0000000000000000,222.5990000000000000,64,227.9000
20250923 10:44:15 America/New_York,222.5600,222.6000,222.5600,222.5900,26.0000000000000000,222.5780000000000000,20,227.9000
20250923 10:44:20 America/New_York,222.5700,222.5800,222.5300,222.5800,71.0000000000000000,222.5570000000000000,47,227.9000
20250923 10:44:25 America/New_York,222.5600,222.5700,222.5400,222.5700,43.0000000000000000,222.5560000000000000,36,227.9000
20250923 10:44:30 America/New_York,222.5700,222.6400,222.5600,222.5900,82.0000000000000000,222.6040000000000000,54,227.9000
20250923 10:44:35 America/New_York,222.6100,222.6700,222.6000,222.6700,30.0000000000000000,222.6410000000000000,28,227.9000
20250923 10:44:40 America/New_York,222.6400,222.6500,222.6300,222.6400,35.0000000000000000,222.6410000000000000,19,227.9000
20250923 10:44:45 America/New_York,222.6200,222.7300,222.6200,222.7300,43.0000000000000000,222.6540000000000000,30,227.9000
20250923 10:44:50 America/New_York,222.7500,222.8400,222.7400,222.8200,75.0000000000000000,222.7900000000000000,42,227.9000
20250923 10:44:55 America/New_York,222.8300,222.8400,222.8000,222.8200,107.0000000000000000,222.8240000000000000,60,227.9000
20250923 10:45:00 America/New_York,222.8000,222.8900,222.8000,222.8700,185.0000000000000000,222.8560000000000000,89,227.9000
20250923 10:45:05 America/New_York,222.8700,222.8700,222.8400,222.8500,42.0000000000000000,222.8590000000000000,21,227.9000
20250923 10:45:10 America/New_York,222.8500,222.8600,222.8200,222.8500,45.0000000000000000,222.8440000000000000,16,227.9000
20250923 10:45:15 America/New_York,222.8400,222.8500,222.8200,222.8500,72.0000000000000000,222.8490000000000000,54,227.9000
20250923 10:45:20 America/New_York,222.8400,222.8500,222.7700,222.7800,153.0000000000000000,222.8290000000000000,117,227.9000
20250923 10:45:25 America/New_York,222.7900,222.8400,222.7800,222.8400,32.0000000000000000,222.8120000000000000,16,227.9000
20250923 10:45:30 America/New_York,222.8400,222.8400,222.7700,222.7800,82.0000000000000000,222.7950000000000000,47,227.9000
20250923 10:45:35 America/New_York,222.7700,222.8000,222.7700,222.7700,47.0000000000000000,222.7890000000000000,21,227.9000
20250923 10:45:40 America/New_York,222.7800,222.7800,222.7500,222.7700,25.0000000000000000,222.7650000000000000,17,227.9000
20250923 10:45:45 America/New_York,222.7500,222.7600,222.7200,222.7600,16.0000000000000000,222.7460000000000000,10,227.9000
20250923 10:45:50 America/New_York,222.7600,222.7900,222.7100,222.7400,95.0000000000000000,222.7440000000000000,41,227.9000
20250923 10:45:55 America/New_York,222.7400,222.8500,222.7300,222.8500,56.0000000000000000,222.8070000000000000,48,227.9000
