Timestamp,Open,High,Low,Close,Volume,WAP,Count,YesterdayClose,Bid,Ask,BidSize,AskSize,PutVol,CallVol,ShortableShares
20260306 15:24:40 America/New_York,397.7100,397.7100,397.5900,397.5900,113.000000000000000000,397.659610303830902467,42,405.5500,397.5600,397.6000,4,1,1268242,1727198,53083046
20260306 15:24:45 America/New_York,397.5900,397.6600,397.5400,397.5900,128.000000000000000000,397.595589833139285929,62,405.5500,397.6100,397.6600,14,1,1268347,1727243,53083046
20260306 15:24:50 America/New_York,397.6200,397.6600,397.4500,397.4700,443.000000000000000000,397.505836665727997570,114,405.5500,397.4900,397.5200,3,1,1268791,1727625,53083150
20260306 15:24:55 America/New_York,397.4800,397.6100,397.4700,397.5300,144.000000000000000000,397.560289177489210033,65,405.5500,397.5200,397.5600,6,1,1268942,1727668,53083309
20260306 15:25:00 America/New_York,397.5200,397.5700,397.1700,397.2400,575.000000000000000000,397.318203991130815211,140,405.5500,397.2700,397.3000,1,3,1269550,1728304,53068846
20260306 15:25:05 America/New_York,397.2500,397.2800,397.1000,397.2400,408.000000000000000000,397.186857020443085275,116,405.5500,397.2200,397.2600,4,1,1270315,1728493,53068789
20260306 15:25:10 America/New_York,397.2500,397.2500,397.1700,397.2000,200.000000000000000000,397.206835616438411307,79,405.5500,397.1600,397.2000,3,4,1270760,1728815,53068649
20260306 15:25:15 America/New_York,397.1900,397.2200,397.1600,397.2200,82.000000000000000000,397.182790981109121731,31,405.5500,397.2300,397.2600,2,1,1270898,1729005,53068634
20260306 15:25:20 America/New_York,397.2500,397.4100,397.2000,397.3600,224.000000000000000000,397.287375208449077491,55,405.5500,397.3000,397.3500,2,13,1271119,1729300,53068634
20260306 15:25:25 America/New_York,397.3900,397.4200,397.1700,397.2600,207.000000000000000000,397.279874577906412014,55,405.5500,397.2300,397.2900,13,14,1271308,1729537,53068634
20260306 15:25:30 America/New_York,397.2500,397.3100,397.1500,397.1700,226.000000000000000000,397.260106171201073266,74,405.5500,397.1800,397.2200,7,9,1271559,1729733,53068781
20260306 15:25:35 America/New_York,397.1600,397.2800,397.1600,397.1900,175.000000000000000000,397.214997865983775682,46,405.5500,397.1900,397.2100,1,1,1271679,1729913,53068705
20260306 15:25:40 America/New_York,397.2100,397.2300,397.1300,397.1900,118.000000000000000000,397.174318950930626215,55,405.5500,397.2000,397.2400,1,4,1271899,1730010,53068580
20260306 15:25:45 America/New_York,397.2200,397.2200,397.1400,397.1900,137.000000000000000000,397.179345540246572455,42,405.5500,397.1600,397.2100,13,4,1271961,1730108,53068585
20260306 15:25:50 America/New_York,397.1800,397.2000,397.0300,397.0600,487.000000000000000000,397.115944339090788162,116,405.5500,397.0800,397.1100,7,8,1272485,1730429,53069295
20260306 15:25:55 America/New_York,397.1100,397.1300,397.0500,397.1300,141.000000000000000000,397.089982341515110420,40,405.5500,397.0800,397.1200,10,3,1272574,1730575,53069385
20260306 15:26:00 America/New_York,397.1000,397.1300,396.9200,396.9800,825.000000000000000000,396.995480344054783473,264,405.5500,396.9600,397.0000,10,11,1273033,1731102,53070206
20260306 15:26:05 America/New_York,396.9800,397.0000,396.7700,396.8600,242.000000000000000000,396.848575254970626247,112,405.5500,396.8600,396.8800,4,3,1273377,1731568,53069875
20260306 15:26:10 America/New_York,396.8600,396.8700,396.8000,396.8100,354.000000000000000000,396.830584214235386753,110,405.5500,396.8000,396.8300,8,1,1273536,1731734,53069859
20260306 15:26:15 America/New_York,396.8200,396.8400,396.7500,396.8000,343.000000000000000000,396.799847745319425485,100,405.5500,396.7500,396.7900,5,1,1273779,1731971,53069836
20260306 15:26:20 America/New_York,396.7700,396.7900,396.7100,396.7400,270.000000000000000000,396.747720288781977160,87,405.5500,396.7300,396.7600,1,4,1274061,1732205,53069531
20260306 15:26:25 America/New_York,396.7300,396.7900,396.6600,396.7100,169.000000000000000000,396.734544383924571775,73,405.5500,396.6600,396.7000,3,10,1274352,1732546,53070921
20260306 15:26:30 America/New_York,396.6800,396.8700,396.6600,396.8200,286.000000000000000000,396.782116392869625088,117,405.5500,396.8000,396.8400,3,18,1274581,1733200,53070969
20260306 15:26:35 America/New_York,396.8200,396.8400,396.7400,396.8300,141.000000000000000000,396.799191632689201015,51,405.5500,396.8100,396.8500,4,3,1274880,1733479,53070809
20260306 15:26:40 America/New_York,396.8300,396.9000,396.7600,396.8800,386.000000000000000000,396.818632655703709133,107,405.5500,396.8400,396.8700,2,4,1275210,1733672,53070830
20260306 15:26:45 America/New_York,396.8800,396.8900,396.8200,396.8400,205.000000000000000000,396.853293515358416244,65,405.5500,396.8100,396.8400,1,1,1275331,1733816,53070887
20260306 15:26:50 America/New_York,396.8700,396.9400,396.8100,396.9200,241.000000000000000000,396.882991506111522995,71,405.5500,396.8800,396.9100,2,1,1275496,1734938,53070937
20260306 15:26:55 America/New_York,396.8900,397.0900,396.8900,397.0800,396.000000000000000000,396.959043170916402232,123,405.5500,397.0500,397.0800,1,1,1275815,1735101,53071062
20260306 15:27:00 America/New_York,397.0900,397.1200,396.8600,396.8600,244.000000000000000000,397.016166137457673813,72,405.5500,396.8400,396.8800,19,5,1275983,1735190,53072030
20260306 15:27:05 America/New_York,396.8800,396.9400,396.8100,396.8600,213.000000000000000000,396.870634716539996134,65,405.5500,396.8400,396.8700,2,1,1276300,1735562,53071822
20260306 15:27:10 America/New_York,396.8700,396.9600,396.7800,396.7800,287.000000000000000000,396.854407591190124549,119,405.5500,396.7700,396.8100,7,7,1276462,1735697,53071711
20260306 15:27:15 America/New_York,396.7900,396.8100,396.6500,396.7000,300.000000000000000000,396.737880678981582605,94,405.5500,396.7100,396.7400,13,1,1276967,1736003,53071492
