Timestamp,Open,High,Low,Close,Volume,WAP,Count,YesterdayClose,DataQualityFlags
20260102 10:05:30 America/New_York,453.75,454.07,453.38,453.81,2219.0,453.82306985128434,750,457.8,none
20260102 10:06:00 America/New_York,453.39,454.07,453.19,453.55,1753.0,453.4838431260696,542,457.8,none
20260102 10:06:30 America/New_York,453.89,454.0,453.16,453.91,1698.0,453.67848998822143,580,457.8,none
20260102 10:07:00 America/New_York,454.05,454.12,453.61,453.92,1607.0,453.87081207218426,542,457.8,none
20260102 10:07:30 America/New_York,453.31,454.04,453.15,453.16,1543.0,453.5574549578743,569,457.8,none
20260102 10:08:00 America/New_York,453.27,453.46,452.7,453.22,3302.0,453.0669049061175,959,457.8,none
20260102 10:08:30 America/New_York,453.3,453.5,452.85,452.92,2982.0,453.07329443326626,777,457.8,none
20260102 10:09:00 America/New_York,453.23,453.39,452.76,453.32,1492.0,453.01180495978554,495,457.8,none
20260102 10:09:30 America/New_York,453.23,453.52,453.11,453.23,1698.0,453.3027243816254,528,457.8,none
20260102 10:10:00 America/New_York,453.0,453.41,452.5,452.91,2580.0,452.9328976744186,827,457.8,none
20260102 10:10:30 America/New_York,452.24,452.95,452.01,452.18,2844.0,452.38223241912794,896,457.8,none
20260102 10:11:00 America/New_York,451.71,452.34,451.59,451.67,3365.0,451.9077762258544,1047,457.8,none
20260102 10:11:30 America/New_York,451.2,451.86,451.0,451.06,3485.0,451.4303888091822,960,457.8,none
20260102 10:12:00 America/New_York,451.44,451.64,450.8,451.54,3961.0,451.19838601363296,1115,457.8,none
20260102 10:12:30 America/New_York,450.67,451.65,450.38,450.62,2771.0,451.1077982677734,946,457.8,none
20260102 10:13:00 America/New_York,450.98,451.09,450.52,451.08,2428.0,450.8186470345964,779,457.8,none
20260102 10:13:30 America/New_York,450.8,451.1,450.61,450.7,1944.0,450.8596579218107,576,457.8,none
20260102 10:14:00 America/New_York,449.62,450.86,449.42,449.49,5570.0,449.92044272890485,1572,457.8,none
20260102 10:14:30 America/New_York,449.18,449.6,448.75,449.03,6118.0,449.0654452435436,1677,457.8,none
20260102 10:15:00 America/New_York,449.2,449.55,448.61,449.07,5293.0,449.05231664462497,1572,457.8,none
20260102 10:15:30 America/New_York,449.03,449.25,448.75,449.04,2123.0,449.0091328308996,735,457.8,none
20260102 10:16:00 America/New_York,448.46,449.06,448.27,448.43,4512.0,448.61176883865255,1485,457.8,none
20260102 10:16:30 America/New_York,448.47,448.8,448.05,448.31,4444.0,448.4575704320432,1445,457.8,none
20260102 10:17:00 America/New_York,447.89,448.6,447.74,447.89,4448.0,447.96496537769787,1294,457.8,none
20260102 10:17:30 America/New_York,447.07,447.92,447.05,447.37,3868.0,447.3707510341261,1201,457.8,none
20260102 10:18:00 America/New_York,447.45,447.88,446.9,447.67,4464.0,447.37726232078853,1335,457.8,none
20260102 10:18:30 America/New_York,447.4,447.72,447.09,447.12,2167.0,447.3374268574066,870,457.8,none
20260102 10:19:00 America/New_York,447.59,447.65,446.98,447.18,2992.0,447.2378636363636,939,457.8,none
20260102 10:19:30 America/New_York,447.18,447.41,446.73,447.4,3074.0,447.0670139882889,912,457.8,none
20260102 10:20:00 America/New_York,446.65,447.45,446.43,446.69,4325.0,446.70779167630053,1222,457.8,none
20260102 10:20:30 America/New_York,446.13,446.59,446.01,446.44,3473.0,446.2371983875612,1176,457.8,none
20260102 10:21:00 America/New_York,446.42,446.66,446.05,446.44,3831.0,446.38459044635863,1232,457.8,none
20260102 10:21:30 America/New_York,445.92,446.58,445.75,445.83,4735.0,446.0259894403379,1320,457.8,none
20260102 10:22:00 America/New_York,445.26,446.01,444.96,445.26,5928.0,445.2374817813765,1715,457.8,none
20260102 10:22:30 America/New_York,445.39,445.49,445.07,445.48,3159.0,445.2870740740741,860,457.8,none
20260102 10:23:00 America/New_York,446.27,446.66,445.41,445.98,5948.0,446.25696318090115,2010,457.8,none
20260102 10:23:30 America/New_York,446.12,446.19,445.84,445.85,2135.0,446.0017142857143,746,457.8,none
20260102 10:24:00 America/New_York,445.91,448.1,445.37,446.06,3361.0,445.80599315679854,1107,457.8,none
20260102 10:24:30 America/New_York,445.69,446.03,445.44,445.67,1536.0,445.6581497395834,515,457.8,none
20260102 10:25:00 America/New_York,444.78,446.06,444.66,445.07,4055.0,445.15391713933417,1363,457.8,none
20260102 10:25:30 America/New_York,444.7,445.06,444.37,444.88,3952.0,444.64331250000004,1160,457.8,none
20260102 10:26:00 America/New_York,445.52,445.61,444.71,445.51,2960.0,445.1739013513514,908,457.8,none
20260102 10:26:30 America/New_York,445.39,445.89,445.21,445.73,2734.0,445.5840936356986,810,457.8,none
20260102 10:27:00 America/New_York,445.46,446.19,445.21,445.39,3602.0,445.7333059411437,1107,457.8,none
20260102 10:27:30 America/New_York,445.01,445.55,444.88,445.31,3181.0,445.1897007230431,1014,457.8,none
20260102 10:28:00 America/New_York,444.78,445.31,444.5,444.61,2363.0,444.7533592890394,803,457.8,none
20260102 10:28:30 America/New_York,444.85,445.06,444.54,444.98,1742.0,444.80161768082667,575,457.8,none
20260102 10:29:00 America/New_York,444.79,445.43,444.67,444.75,2693.0,445.0924511696992,852,457.8,none
20260102 10:29:30 America/New_York,445.09,445.29,444.75,445.1,1564.0,445.0709450127877,535,457.8,none
20260102 10:30:00 America/New_York,445.28,445.4,444.86,445.26,2359.0,445.1541988130563,729,457.8,none
20260102 10:30:30 America/New_York,445.3,445.45,445.04,445.21,1571.0,445.2391597708465,556,457.8,none
20260102 10:31:00 America/New_York,444.97,445.35,444.83,445.05,2258.0,445.0984309123118,837,457.8,none
20260102 10:31:30 America/New_York,444.34,445.1,444.21,444.63,3322.0,444.56911438892234,1134,457.8,none
20260102 10:32:00 America/New_York,445.44,445.68,444.45,445.65,3769.0,445.2274937649244,1106,457.8,none
20260102 10:32:30 America/New_York,445.94,446.0,445.58,445.92,3191.0,445.7982785960515,988,457.8,none
20260102 10:33:00 America/New_York,446.35,446.4,445.8,446.34,3996.0,446.16480255255254,1121,457.8,none
20260102 10:33:30 America/New_York,446.29,446.57,446.2,446.48,3850.0,446.36659896103896,1172,457.8,none
20260102 10:34:00 America/New_York,446.99,447.1,446.41,446.95,4263.0,446.80385737743376,960,457.8,none
20260102 10:34:30 America/New_York,446.85,447.07,446.79,446.99,2193.0,446.9177213862289,731,457.8,none
20260102 10:35:00 America/New_York,447.03,447.1,446.84,446.96,2468.0,446.942178687196,776,457.8,none
20260102 10:35:30 America/New_York,447.11,447.2,446.82,447.19,2105.0,447.04792209026124,744,457.8,none
20260102 10:36:00 America/New_York,447.13,447.69,446.79,446.95,4828.0,447.33768371996683,1341,457.8,none
20260102 10:36:30 America/New_York,447.06,447.23,446.82,447.05,2071.0,447.05492177691934,625,457.8,none
20260102 10:37:00 America/New_York,447.15,447.49,446.97,447.12,3266.0,447.22073943661974,1000,457.8,none
20260102 10:37:30 America/New_York,447.0,447.29,446.78,447.09,1977.0,446.9944840667679,652,457.8,none
20260102 10:38:00 America/New_York,446.72,447.09,446.65,446.69,2231.0,446.83115239802777,734,457.8,none
20260102 10:38:30 America/New_York,446.23,446.72,445.88,446.15,4480.0,446.23073125,1171,457.8,none
20260102 10:39:00 America/New_York,446.28,446.4,445.92,446.29,2106.0,446.1907758784426,636,457.8,none
20260102 10:39:30 America/New_York,446.38,446.59,446.14,446.51,2182.0,446.3832878093492,591,457.8,none
20260102 10:40:00 America/New_York,446.49,446.99,446.26,446.99,2267.0,446.5830485222761,757,457.8,none
20260102 10:40:30 America/New_York,447.17,447.39,446.88,447.18,2438.0,447.15527727645605,794,457.8,none
20260102 10:41:00 America/New_York,447.38,447.59,447.08,447.5,2162.0,447.3950513413506,676,457.8,none
20260102 10:41:30 America/New_York,447.81,447.89,447.43,447.8,2353.0,447.66516234594127,713,457.8,none
20260102 10:42:00 America/New_York,448.08,448.11,447.55,447.96,3436.0,447.8368728172294,1010,457.8,none
20260102 10:42:30 America/New_York,448.23,448.25,447.95,448.13,2798.0,448.1063087919943,844,457.8,none
20260102 10:43:00 America/New_York,447.8,448.19,447.76,447.98,2940.0,447.95183265306116,764,457.8,none
20260102 10:43:30 America/New_York,447.75,448.01,447.64,447.8,1686.0,447.8037556346383,495,457.8,none
20260102 10:44:00 America/New_York,447.74,447.85,447.51,447.76,1762.0,447.6902338251987,613,457.8,none
20260102 10:44:30 America/New_York,447.88,447.95,447.66,447.84,1429.0,447.8176480055983,439,457.8,none
20260102 10:45:00 America/New_York,447.86,448.19,447.69,448.11,2991.0,447.98490738883316,870,457.8,none
20260102 10:45:30 America/New_York,447.74,448.23,447.66,447.66,1521.0,447.9291012491782,479,457.8,none
20260102 10:46:00 America/New_York,447.75,448.0,447.65,447.75,1480.0,447.81623040540546,565,457.8,none
20260102 10:46:30 America/New_York,447.65,447.86,447.37,447.4,2385.0,447.6180926624738,661,457.8,none
20260102 10:47:00 America/New_York,447.13,447.47,447.06,447.17,2878.0,447.2394600416957,928,457.8,none
20260102 10:47:30 America/New_York,447.66,447.74,446.9,447.6,2228.0,447.26169748653496,722,457.8,none
20260102 10:48:00 America/New_York,447.53,447.81,447.4,447.66,1853.0,447.63110901241237,604,457.8,none
20260102 10:48:30 America/New_York,447.38,447.75,447.25,447.27,1786.0,447.46729731243005,497,457.8,none
20260102 10:49:00 America/New_York,446.86,447.35,446.41,446.75,3850.0,446.8138516883117,917,457.8,none
20260102 10:49:30 America/New_York,446.36,446.84,446.3,446.43,1802.0,446.59361875693673,577,457.8,none
20260102 10:50:00 America/New_York,446.31,446.75,445.59,445.77,3160.0,446.24215537974686,887,457.8,none
20260102 10:50:30 America/New_York,446.28,446.37,445.76,446.17,1645.0,446.09685288753803,542,457.8,none
20260102 10:51:00 America/New_York,445.73,446.25,445.38,445.39,2866.0,445.77288136775996,767,457.8,none
20260102 10:51:30 America/New_York,445.48,445.89,445.35,445.55,1600.0,445.55805687500003,554,457.8,none
20260102 10:52:00 America/New_York,445.45,445.55,444.69,445.18,3926.0,445.0354291900153,1279,457.8,none
20260102 10:52:30 America/New_York,444.94,445.38,444.78,444.84,2530.0,444.9839411067194,741,457.8,none
20260102 10:53:00 America/New_York,445.32,445.47,444.76,445.13,2517.0,445.0268764402066,724,457.8,none
20260102 10:53:30 America/New_York,444.78,445.24,444.63,444.91,4395.0,444.8077167235495,1216,457.8,none
20260102 10:54:00 America/New_York,445.07,445.34,444.5,445.0,2651.0,444.8487932855526,813,457.8,none
20260102 10:54:30 America/New_York,444.8,445.03,444.5,444.97,2328.0,444.7474806701031,616,457.8,none
20260102 10:55:00 America/New_York,445.57,445.62,444.83,445.5,3452.0,445.3104067207416,914,457.8,none
20260102 10:55:30 America/New_York,445.81,445.94,445.39,445.69,2063.0,445.65402859912746,650,457.8,none
20260102 10:56:00 America/New_York,445.71,446.08,445.44,445.58,2528.0,445.78759098101267,721,457.8,none
20260102 10:56:30 America/New_York,445.18,445.58,444.98,445.02,2441.0,445.24593568209747,709,457.8,none
20260102 10:57:00 America/New_York,443.8,444.98,443.57,443.69,5436.0,443.96099025018395,1516,457.8,none
20260102 10:57:30 America/New_York,443.63,443.88,443.29,443.67,3838.0,443.46760812923395,1110,457.8,none
20260102 10:58:00 America/New_York,443.39,443.71,443.21,443.64,2226.0,443.43320395327936,756,457.8,none
20260102 10:58:30 America/New_York,443.24,443.68,443.15,443.29,1783.0,443.36117835109366,604,457.8,none
20260102 10:59:00 America/New_York,442.71,443.24,442.42,442.79,4327.0,442.88249318234335,1279,457.8,none
20260102 10:59:30 America/New_York,442.9,443.14,442.62,443.08,2771.0,442.8735867917719,773,457.8,none
20260102 11:00:00 America/New_York,442.89,443.21,442.36,442.71,3028.0,442.7288791281374,979,457.8,none
20260102 11:00:30 America/New_York,442.59,442.75,442.31,442.5,2327.0,442.5033639879673,772,457.8,none
20260102 11:01:00 America/New_York,442.16,442.55,441.86,442.17,4174.0,442.0876844753234,1368,457.8,none
20260102 11:01:30 America/New_York,442.37,442.5,442.05,442.28,1585.0,442.2995438485805,497,457.8,none
20260102 11:02:00 America/New_York,442.22,442.62,441.91,442.43,2673.0,442.20228731762063,865,457.8,none
